"IntId","StrBanco","IntTransaccion","IntDocumento","DatFecha","StrDocumento","IntNaturaleza","IntValor","IntConciliado","IdSeguridad"
242,"05","02",9258,2017-03-02 00:00:00.000,"0",2,211200.00000,0,ABC8CFEA-F358-4226-9237-2869528E48B3
243,"05","02",9259,2017-03-02 00:00:00.000,"0",2,75000.00000,0,"2C0CAABF-EE04-474E-B885-5B73721DAABF"
244,"05","02",9260,2017-03-02 00:00:00.000,"0",2,1137400.00000,0,"228CD0E5-08A8-4A37-A58D-846C74362FE9"
245,"05","02",9261,2017-03-02 00:00:00.000,"0",2,900000.00000,0,"4759F9B7-D3F4-43BF-8C32-B0626AD6F4E0"
246,"05","02",9265,2017-03-03 00:00:00.000,"0",2,971783.00000,0,D67D836A-7821-4A3E-A8D1-7434AFE5692E
451,"07","01",16718,2017-02-06 00:00:00.000,"0",1,73223.00000,1,"3509F909-79DF-4F38-94C3-A8E260FECDE0"
452,"07","01",16741,2017-02-07 00:00:00.000,"0",1,278645.00000,1,"8BC768FF-1D8B-41ED-ABF4-7E4E7FA9D9C4"
453,"07","01",16741,2017-02-07 00:00:00.000,"0",1,73223.00000,1,A1A229D4-86F1-4BB3-BE81-D395A2F6427F
454,"07","01",16743,2017-02-07 00:00:00.000,"0",1,73223.00000,1,C8F420BF-6E35-4FB7-96DC-1B878BA0C861
455,"07","01",16743,2017-02-07 00:00:00.000,"0",1,278645.00000,1,DD154EAE-306A-4D24-8A75-156A8BCC488C
456,"07","01",16768,2017-02-04 00:00:00.000,"0",1,400781.00000,0,A9C6E965-4ACE-4170-A035-52DDEA272F9F
457,"07","01",16769,2017-02-10 00:00:00.000,"0",1,400781.00000,0,F2B870D5-2E2F-4D93-B98B-81A41E19BA00
458,"07","01",16770,2017-02-25 00:00:00.000,"0",1,400781.00000,0,EEEAE358-83A0-4797-BC80-83B2B750A8FF
459,"07","01",16774,2017-02-13 00:00:00.000,"0",1,400781.00000,1,"88B9464F-936F-446D-BCB2-106EB55AFA5E"
460,"07","01",16799,2017-02-15 00:00:00.000,"0",1,73223.00000,1,FCC0B394-9E74-4EBB-8ADF-8AAD709BE927
461,"07","01",16808,2017-02-16 00:00:00.000,"0",1,73250.00000,0,"99840DB1-E9B6-4142-BD81-3717DA364115"
462,"07","01",16810,2017-02-17 00:00:00.000,"0",1,33797092.00000,1,"572E015E-3ED7-468B-B85B-F7713B0560F1"
463,"07","01",16826,2017-02-23 00:00:00.000,"0",1,384082.00000,1,F741F958-E68D-432D-B191-370C46211C13
464,"07","01",16827,2017-02-24 00:00:00.000,"0",1,579000.00000,1,DD6E69A8-33E9-4FB6-BC2D-35425CA9C1E8
465,"07","01",16834,2017-02-27 00:00:00.000,"0",1,3454739.00000,1,"9822D1E7-9AA7-4E76-89EB-197B7F88BCB7"
466,"07","01",16841,2017-02-28 00:00:00.000,"0",1,254000.00000,1,FF18538E-F32D-4D41-9ED8-059A7CF5E761
467,"07","01",16848,2017-02-28 00:00:00.000,"0",1,73224.00000,1,"5037AFC2-D083-446F-BC50-785333B7BDF5"
468,"07","01",16849,2017-02-28 00:00:00.000,"0",1,73224.00000,1,"430C33BE-5C8E-4A58-A3F3-69468F4EA6F5"
469,"07","02",9211,2017-02-06 00:00:00.000,"0",2,374642.00000,0,"6AC36FA6-DAF3-4F5E-A0A3-824B232EE438"
470,"07","02",9219,2017-02-06 00:00:00.000,"0",2,7000000.00000,1,"4453781E-2045-4CC8-8D8B-2459E3897910"
471,"07","02",9226,2017-02-08 00:00:00.000,"0",2,1610919.00000,1,"24D9F77F-B10D-4472-A763-C3F9421FE915"
472,"07","02",9227,2017-02-08 00:00:00.000,"0",2,2124000.00000,1,"9CA8CBC4-E6A4-427B-AD8B-56C6FDE02DFD"
473,"07","02",9240,2017-02-21 00:00:00.000,"0",2,14412397.00000,1,E41170A6-4D90-4C13-9D3E-FE4DB762BE51
474,"07","02",9240,2017-02-21 00:00:00.000,"0",2,14412398.00000,1,"9F137175-2CBD-4D50-BD2C-155DFB4D1BD0"
475,"07","02",9240,2017-02-21 00:00:00.000,"0",2,672090.00000,1,"308EA36E-6197-4AF9-874C-E48D5B50F93A"
476,"07","02",9241,2017-02-22 00:00:00.000,"0",2,358142.00000,1,DFA72BF2-8099-4AEE-8932-B2EBDFE18D7D
477,"07","02",9242,2017-02-27 00:00:00.000,"0",2,3244066.00000,1,B1B10330-CAFB-4F58-ADF2-488371E215C5
478,"07","02",9243,2017-02-08 00:00:00.000,"0",2,69300000.00000,1,"646C52A9-4F12-4F97-AD9A-F94302B2AFFD"
479,"07","02",9251,2017-02-27 00:00:00.000,"0",2,1525370.00000,1,"60448AE6-1BFB-4FCA-B9C0-DEEC09A22284"
